"имя";"отношение оценок";"валюта";"отношение"
"flashobmen.com";"";"Perfect Money EUR/Volet-(Advcash) USD";"1.00/0.9408"
"Papa-change";"";"Perfect Money EUR/Volet-(Advcash) USD";"1.00/0.8956"
